Lin and Natasha played a tune.	Natasha played a tune.
Lin and Natasha sang a song.	Lin sang a song.
Lin and Natasha sang a song.	Natasha sang a song.
Jenny and Natasha handled ammunition well.	Jenny handled ammunition well.
Jenny and Natasha handled ammunition well.	Natasha handled ammunition well.
Jenny and Natasha drew a circle.	Jenny drew a circle.
Jenny and Natasha drew a circle.	Natasha drew a circle.
Bob and Tanaka handled ammunition well.	Bob handled ammunition well.
Bob and Tanaka handled ammunition well.	Tanaka handled ammunition well.
Bob and Tanaka solved the puzzle.	Bob solved the puzzle.
Bob and Tanaka solved the puzzle.	Tanaka solved the puzzle.
Mia and Lin took an exam.	Mia took an exam.
Mia and Lin took an exam.	Lin took an exam.
Mia and Lin danced in gaily.	Mia danced in gaily.
Mia and Lin danced in gaily.	Lin danced in gaily.
the tank and the aircraft were expensive.	the tank was expensive.
the tank and the aircraft were expensive.	the aircraft was expensive.
the tank and the aircraft were powerful.	the tank was powerful.
the tank and the aircraft were powerful.	the aircraft was powerful.
Natasha and Jenny adopted a dog.	Natasha adopted a dog.
Natasha and Jenny adopted a dog.	Jenny adopted a dog.
Natasha and Jenny built a cabin.	Natasha built a cabin.
Natasha and Jenny built a cabin.	Jenny built a cabin.
the fox and the puppy found a cave.	the fox found a cave.
the fox and the puppy found a cave.	the puppy found a cave.
the fox and the puppy led a group.	the fox led a group.
the fox and the puppy led a group.	the puppy led a group.
the puppy and the fox found a cave.	the puppy found a cave.
the puppy and the fox found a cave.	the fox found a cave.
the puppy and the fox led a group.	the puppy led a group.
the puppy and the fox led a group.	the fox led a group.
Zoe and Mia used the stapler.	Zoe used the stapler.
Zoe and Mia used the stapler.	Mia used the stapler.
Zoe and Mia danced in gaily.	Zoe danced in gaily.
Zoe and Mia danced in gaily.	Mia danced in gaily.
